    PID TTY      STAT   TIME COMMAND
    220 ?        I<     0:00 [kworker/11:1H-kblockd]
    221 ?        I<     0:00 [kworker/6:1H-kblockd]
    250 ?        S      0:41 [irq/30-MSFT0001:00]
    251 ?        I<     0:00 [nvme-wq]
    252 ?        I<     0:00 [nvme-reset-wq]
    253 ?        I<     0:00 [nvme-delete-wq]
    254 ?        I<     0:00 [nvme-auth-wq]
    255 ?        S      0:00 [scsi_eh_0]
    256 ?        I<     0:00 [scsi_tmf_0]
    257 ?        S      0:00 [scsi_eh_1]
    258 ?        I<     0:00 [scsi_tmf_1]
    260 ?        I<     0:00 [kworker/9:1H-kblockd]
    264 ?        I      0:00 [kworker/0:2-events]
    285 ?        S      0:01 [jbd2/nvme0n1p5-8]
    286 ?        I<     0:00 [ext4-rsv-conver]
    326 ?        S<s    0:02 /lib/systemd/systemd-journald
    382 ?        Ss     0:00 /lib/systemd/systemd-udevd
    541 ?        I<     0:00 [cryptd]
    542 ?        I<     0:00 [cfg80211]
    597 ?        Ss     0:09 /lib/systemd/systemd-oomd
    599 ?        Ss     0:02 /lib/systemd/systemd-resolved
    600 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
    646 ?        S      0:28 [irq/75-rtw88_pci]
    650 ?        I<     0:00 [amd_iommu_v2]
    724 ?        Ssl    0:00 /usr/libexec/accounts-daemon
    725 ?        Ss     0:00 /usr/sbin/acpid
    727 ?        Ss     0:00 avahi-daemon: running [IdeaPad5.local]
    729 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
    730 ?        Ss     0:00 /usr/sbin/cron -f -P
    732 ?        Ss     0:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    733 ?        Ssl    0:04 /usr/sbin/NetworkManager --no-daemon
    738 ?        Ssl    0:01 /usr/sbin/irqbalance --foreground
    741 ?        Ss     0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
    742 ?        Ssl    0:02 /usr/libexec/polkitd --no-debug
    743 ?        Ssl    0:00 /usr/libexec/power-profiles-daemon
    744 ?        Ssl    0:00 /usr/sbin/rsyslogd -n -iNONE
    748 ?        Ssl    0:13 /usr/lib/snapd/snapd
    750 ?        Ssl    0:00 /usr/libexec/switcheroo-control
    759 ?        Ss     0:00 /lib/systemd/systemd-logind
    766 ?        Ssl    0:00 /usr/libexec/udisks2/udisksd
    773 ?        Ss     0:01 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
    784 ?        S      0:00 avahi-daemon: chroot helper
    801 ?        Ssl    0:00 /usr/sbin/ModemManager
    806 ?        Ss     0:00 /usr/sbin/cupsd -l
    821 ?        Ss     0:00 /bin/sh /snap/cups/980/scripts/run-cups-browsed
    825 ?        Ss     0:00 /bin/sh /snap/cups/980/scripts/run-cupsd
    888 ?        Ssl    0:00 /usr/sbin/gdm3
    908 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
    990 ?        I<     0:00 [amdgpu-reset-de]
   1037 ?        I<     0:00 [amdgpu_dm_hpd_r]
   1038 ?        I<     0:00 [amdgpu_dm_hpd_r]
   1039 ?        I<     0:00 [amdgpu_dm_hpd_r]
   1040 ?        I<     0:00 [dm_vblank_contr]
   1050 ?        S      0:00 [card0-crtc0]
   1051 ?        S      0:00 [card0-crtc1]
   1052 ?        S      0:00 [card0-crtc2]
   1053 ?        S      0:00 [card0-crtc3]
   1054 ?        S      0:23 [gfx_low]
   1055 ?        S      0:07 [gfx_high]
   1056 ?        S      0:00 [comp_1.0.0]
   1057 ?        S      0:00 [comp_1.1.0]
   1058 ?        S      0:00 [comp_1.2.0]
   1059 ?        S      0:00 [comp_1.3.0]
   1060 ?        S      0:00 [comp_1.0.1]
   1061 ?        S      0:00 [comp_1.1.1]
   1062 ?        S      0:00 [comp_1.2.1]
   1063 ?        S      0:00 [comp_1.3.1]
   1064 ?        S      0:01 [sdma0]
   1065 ?        S      0:00 [vcn_dec]
   1066 ?        S      0:00 [vcn_enc0]
   1067 ?        S      0:00 [vcn_enc1]
   1068 ?        S      0:00 [jpeg_dec]
   1243 ?        S      0:00 cupsd -f -s /var/snap/cups/common/etc/cups/cups-files.conf -c /var/snap/cups/common/etc/cups/cupsd.conf
   1273 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
   1409 ?        Ssl    0:00 /usr/libexec/upowerd
   1416 ?        S      0:00 /bin/sh /snap/cups/980/scripts/run-cups-browsed
   1448 ?        Ssl    0:02 /usr/libexec/geoclue
   1449 ?        Ssl    0:02 /usr/libexec/packagekitd
   1602 ?        Ssl    0:00 /usr/libexec/colord
   1719 ?        Ssl    0:00 /usr/sbin/cups-browsed
   1733 ?        Ss     0:00 /usr/sbin/kerneloops --test
   1736 ?        Ss     0:00 /usr/sbin/kerneloops
   1738 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
   1745 ?        Ss     0:01 /lib/systemd/systemd --user
   1746 ?        S      0:00 (sd-pam)
   1752 ?        S<sl   0:00 /usr/bin/pipewire
   1753 ?        Ssl    0:00 /usr/bin/pipewire-media-session
   1754 ?        S<sl   0:20 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1764 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
   1773 ?        Ss     0:02 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1783 ?        Ssl    0:00 /usr/libexec/gvfsd
   1791 ?        Ssl    0:00 /usr/libexec/xdg-document-portal
   1793 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   1804 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
   1810 ?        Ss     0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1829 ?        SNsl   0:00 /usr/libexec/tracker-miner-fs-3
   1847 ?        S<     0:00 [krfcommd]
   1848 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   1857 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   1861 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   1865 ?        SLl    0:02 /usr/libexec/goa-daemon
   1867 tty2     Ssl+   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
   1870 tty2     Sl+    0:00 /usr/libexec/gnome-session-binary --session=ubuntu
   1891 ?        Sl     0:00 /usr/libexec/goa-identity-service
   1903 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   1927 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   1938 ?        Ssl    0:00 /usr/libexec/gnome-session-ctl --monitor
   1959 ?        Ssl    0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1985 ?        Sl     0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
   1988 ?        Ssl    7:03 /usr/bin/gnome-shell
   1995 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   2029 ?        Sl     0:00 /usr/libexec/gnome-shell-calendar-server
   2035 ?        Ssl    0:00 /usr/libexec/evolution-source-registry
   2040 ?        Ssl    0:00 /usr/libexec/dconf-service
   2043 ?        Ssl    0:00 /usr/libexec/gvfsd-metadata
   2054 ?        Ssl    0:00 /usr/libexec/evolution-calendar-factory
   2073 ?        Ssl    0:00 /usr/libexec/evolution-addressbook-factory
   2079 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
   2097 ?        Sl     0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2100 ?        Sl     0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
   2127 ?        Ss     0:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
   2128 ?        Ssl    0:00 /usr/libexec/gsd-a11y-settings
   2130 ?        Sl     0:01 /usr/bin/ibus-daemon --panel disable
   2131 ?        Ssl    0:00 /usr/libexec/gsd-color
   2134 ?        Ssl    0:00 /usr/libexec/gsd-datetime
   2136 ?        Ssl    0:00 /usr/libexec/gsd-housekeeping
   2139 ?        Ssl    0:00 /usr/libexec/gsd-keyboard
   2141 ?        Ssl    0:00 /usr/libexec/gsd-media-keys
   2144 ?        Ssl    0:00 /usr/libexec/gsd-power
   2147 ?        Ssl    0:00 /usr/libexec/gsd-print-notifications
   2149 ?        Ssl    0:00 /usr/libexec/gsd-rfkill
   2151 ?        Ssl    0:00 /usr/libexec/gsd-screensaver-proxy
   2152 ?        Ssl    0:00 /usr/libexec/gsd-sharing
   2161 ?        Ssl    0:00 /usr/libexec/gsd-smartcard
   2163 ?        Ssl    0:00 /usr/libexec/gsd-sound
   2166 ?        Ssl    0:00 /usr/libexec/gsd-wacom
   2188 ?        Sl     0:00 /usr/libexec/gsd-disk-utility-notify
   2190 ?        Sl     0:00 /usr/libexec/ibus-dconf
   2197 ?        Sl     0:01 /usr/libexec/ibus-extension-gtk3
   2208 ?        Sl     0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   2209 ?        Sl     0:00 /usr/libexec/ibus-portal
   2262 ?        Sl     1:04 /snap/snap-store/959/usr/bin/snap-store --gapplication-service
   2299 ?        Sl     0:00 /usr/libexec/ibus-engine-simple
   2336 ?        Sl     0:00 /usr/libexec/gsd-printer
   2386 ?        Ssl    0:00 /usr/libexec/xdg-desktop-portal
   2407 ?        Ssl    0:09 /usr/libexec/xdg-desktop-portal-gnome
   2419 ?        Sl     0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
   2452 ?        Ss     0:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
   2455 ?        Ssl    0:00 /usr/libexec/xdg-desktop-portal-gtk
   2545 ?        Sl     0:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
   2620 ?        Ssl    0:00 /usr/libexec/fwupd/fwupd
   2703 ?        Sl     3:26 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.RL74C2 -listen 4 -listen 5 -displayfd 6 -initfd 7
   2718 ?        Ssl    0:00 /usr/libexec/gsd-xsettings
   2746 ?        Sl     0:00 /usr/libexec/ibus-x11
   3661 ?        Sl     0:00 /usr/bin/snap userd
   4141 ?        Sl     0:00 update-notifier
   7257 ?        I      0:00 [kworker/6:0-events]
   8693 ?        I      0:00 [kworker/3:0-mm_percpu_wq]
   9769 ?        I      0:00 [kworker/2:0-events_freezable]
   9827 ?        I      0:00 [kworker/12:2-events]
   9828 ?        I      0:00 [kworker/9:1-mm_percpu_wq]
   9867 ?        I      0:00 [kworker/10:1-events]
  10149 ?        I      0:00 [kworker/12:0-events]
  10178 ?        I<     0:01 [kworker/u33:0-rtw_tx_wq]
  10407 ?        I      0:00 [kworker/4:2-cgroup_destroy]
  10411 ?        I      0:00 [kworker/7:3-pm]
  10421 ?        I      0:00 [kworker/13:3-events]
  10423 ?        I      0:00 [kworker/15:1-events]
  10942 ?        S      0:00 sleep 3600
  11188 ?        Sl     0:00 /usr/libexec/gvfsd-network --spawner :1.3 /org/gtk/gvfs/exec_spaw/1
  11197 ?        Sl     0:00 /usr/libexec/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/3
  11246 ?        I      0:00 [kworker/8:0-events]
  11288 ?        I      0:00 [kworker/9:0-events]
  11312 ?        I      0:00 [kworker/10:2-events]
  11359 ?        Sl     0:00 /usr/bin/gnome-calendar --gapplication-service
  11363 ?        SLl    0:00 /usr/bin/seahorse --gapplication-service
  11594 ?        I      0:00 [kworker/13:1-mm_percpu_wq]
  11699 ?        I      0:00 [kworker/5:0-events]
  11774 ?        I      0:00 [kworker/14:2-events]
  12056 ?        I      0:00 [kworker/4:0-mm_percpu_wq]
  12059 ?        I      0:00 [kworker/0:1-events]
  12060 ?        I      0:00 [kworker/6:1-events]
  12065 ?        I      0:00 [kworker/8:1-inet_frag_wq]
  12112 ?        I      0:02 [kworker/u32:2-flush-259:0]
  12118 ?        I      0:03 [kworker/u32:6-events_power_efficient]
  12129 ?        I      0:00 [kworker/1:1-mm_percpu_wq]
  12132 ?        I      0:00 [kworker/5:2-events]
  12133 ?        I      0:00 [kworker/7:1-events]
  12231 ?        I      0:00 [kworker/3:2-events]
  13393 ?        I      0:00 [kworker/2:3-events]
  13404 ?        I      0:00 [kworker/15:4-events]
  14576 ?        I      0:01 [kworker/u32:36-flush-259:0]
  14720 ?        Sl     0:02 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1920:1080:1:27:0:0:0:0
  14786 ?        Sl     1:33 /snap/firefox/3252/usr/lib/firefox/firefox
  14957 ?        Sl     0:00 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -parentBuildID 20231009233052 -prefsLen 32126 -prefMapSize 233463 -appDir /snap/firefox/3252/usr/lib/firefox/browser {bee5b23d-82b1-40cd-9cb6-585f8f531c01} 14786 true socket
  15001 ?        Sl     0:01 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 32267 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {d1094e8f-aa34-41f8-ba3a-1bf243568460} 14786 true tab
  15062 ?        SLsl   0:36 /snap/code/143/usr/share/code/code --no-sandbox --force-user-env --unity-launch
  15067 ?        S      0:00 /snap/code/143/usr/share/code/code --type=zygote --no-zygote-sandbox --no-sandbox
  15068 ?        S      0:00 /snap/code/143/usr/share/code/code --type=zygote --no-sandbox
  15136 ?        Sl     0:00 /snap/code/143/usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/krzysztof/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=45f67402-aa37-4ada-bb12-e4bd7fe3d9c8&iid=45f67402-aa37-4ada-bb12-e4bd7fe3d9c8&sid=45f67402-aa37-4ada-bb12-e4bd7fe3d9c8 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.83.1 --annotation=lsb-release=Ubuntu 22.04.3 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=25.8.4 --initial-client-fd=44 --shared-client-connection
  15177 ?        Sl     0:01 /snap/code/143/usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=15136 --enable-crash-reporter=0668ecbd-c9f1-4749-8711-9c37cc48b686,no_channel --user-data-dir=/home/krzysztof/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,10609263418810388768,7172580065565937074,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
  15204 ?        Sl     0:06 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 38081 -prefMapSize 233463 -jsInitLen 234236 -parentBuildID 20231009233052 -greomni /snap/firefox/3252/usr/lib/firefox/omni.ja -appomni /snap/firefox/3252/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/3252/usr/lib/firefox/browser {e9343c18-899f-4913-b9a0-816ad0ae97b1} 14786 true tab
  15243 ?        Rl     3:35 /snap/code/143/usr/share/code/code --type=renderer --crashpad-handler-pid=15136 --enable-crash-reporter=0668ecbd-c9f1-4749-8711-9c37cc48b686,no_channel --user-data-dir=/home/krzysztof/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/snap/code/143/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --first-renderer-process --no-sandbox --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1698479129528089 --launch-time-ticks=4870717775 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,10609263418810388768,7172580065565937074,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --vscode-window-config=vscode:109e6644-47a6-4a5f-a08c-af4d34b2871c
  15327 ?        Sl     0:47 /snap/code/143/usr/share/code/code --type=gpu-process --disable-gpu-sandbox --no-sandbox --crashpad-handler-pid=15136 --enable-crash-reporter=0668ecbd-c9f1-4749-8711-9c37cc48b686,no_channel --user-data-dir=/home/krzysztof/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --use-gl=angle --use-angle=swiftshader-webgl --shared-files --field-trial-handle=0,i,10609263418810388768,7172580065565937074,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
  15482 ?        Sl     0:00 /snap/firefox/3252/usr/lib/firefox/firefox -contentproc -parentBuildID 20231009233052 -sandboxingKind 0 -prefsLen 38122 -prefMapSize 233463 -appDir /snap/firefox/3252/usr/lib/firefox/browser {8b07f560-7b7e-43a6-b4ac-542c937ab924} 14786 true utility
  15528 ?        Sl     0:06 /snap/code/143/usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=15136 --enable-crash-reporter=0668ecbd-c9f1-4749-8711-9c37cc48b686,no_channel --user-data-dir=/home/krzysztof/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,10609263418810388768,7172580065565937074,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
  15559 ?        Sl     0:10 /snap/code/143/usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=15136 --enable-crash-reporter=0668ecbd-c9f1-4749-8711-9c37cc48b686,no_channel --user-data-dir=/home/krzysztof/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,10609263418810388768,7172580065565937074,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
  15563 ?        Sl     0:01 /snap/code/143/usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --crashpad-handler-pid=15136 --enable-crash-reporter=0668ecbd-c9f1-4749-8711-9c37cc48b686,no_channel --user-data-dir=/home/krzysztof/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,10609263418810388768,7172580065565937074,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
  15565 ?        Sl     0:29 /snap/code/143/usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --dns-result-order=ipv4first --inspect-port=0 --crashpad-handler-pid=15136 --enable-crash-reporter=0668ecbd-c9f1-4749-8711-9c37cc48b686,no_channel --user-data-dir=/home/krzysztof/.config/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,10609263418810388768,7172580065565937074,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
  15757 pts/0    Ss     0:00 /usr/bin/bash --init-file /snap/code/143/usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
  15851 ?        Sl     0:00 /snap/code/143/usr/share/code/code --ms-enable-electron-run-as-node /snap/code/143/usr/share/code/resources/app/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=15565
